file_name	commons_title	category	image_url	description_url	artist	license	credit
2015_12_.jpg	File:2015年12月・千田要一.jpg	Category:People of Tokyo	https://upload.wikimedia.org/wikipedia/commons/6/61/2015%E5%B9%B412%E6%9C%88%E3%83%BB%E5%8D%83%E7%94%B0%E8%A6%81%E4%B8%80.jpg	https://commons.wikimedia.org/wiki/File:2015%E5%B9%B412%E6%9C%88%E3%83%BB%E5%8D%83%E7%94%B0%E8%A6%81%E4%B8%80.jpg	トリプルセブン	CC BY-SA 4.0	Own work
7-year-old_girl_wearing_kimono_in_Shichi-go-san_festival_November_2007.jpg	File:7-year-old girl wearing kimono in Shichi-go-san festival; November 2007.jpg	Category:People of Tokyo	https://upload.wikimedia.org/wikipedia/commons/2/24/7-year-old_girl_wearing_kimono_in_Shichi-go-san_festival%3B_November_2007.jpg	https://commons.wikimedia.org/wiki/File:7-year-old_girl_wearing_kimono_in_Shichi-go-san_festival;_November_2007.jpg	Donna Cleveland	CC BY 2.0	Seven y.o. with  Mums
71-2551_Tokyo_1971_51420196927_.jpg	File:71-2551 Tokyo 1971 (51420196927).jpg	Category:People of Tokyo	https://upload.wikimedia.org/wikipedia/commons/3/35/71-2551_Tokyo_1971_%2851420196927%29.jpg	https://commons.wikimedia.org/wiki/File:71-2551_Tokyo_1971_(51420196927).jpg	wilford peloquin	CC BY 2.0	71-2551 Tokyo 1971
A_girl_wearing_kimono_in_Tokyo_Japan_November_2015.jpg	File:A girl wearing kimono in Tokyo, Japan; November 2015.jpg	Category:People of Tokyo	https://upload.wikimedia.org/wikipedia/commons/3/3c/A_girl_wearing_kimono_in_Tokyo%2C_Japan%3B_November_2015.jpg	https://commons.wikimedia.org/wiki/File:A_girl_wearing_kimono_in_Tokyo,_Japan;_November_2015.jpg	specchio.nero	CC BY-SA 2.0	Tokyo
A_worse_job_than_yours_4734843917_.jpg	File:A worse job than yours (4734843917).jpg	Category:People of Tokyo	https://upload.wikimedia.org/wikipedia/commons/a/a1/A_worse_job_than_yours_%284734843917%29.jpg	https://commons.wikimedia.org/wiki/File:A_worse_job_than_yours_(4734843917).jpg	istolethetv	CC BY 2.0	a worse job than yours
125_Brick_Lane_Tower_Hamlets_Brick_Lane_Market_London_England_01.jpg	File:125 Brick Lane Tower Hamlets Brick Lane Market London England 01.jpg	Category:Street photography in London	https://upload.wikimedia.org/wikipedia/commons/f/f7/125_Brick_Lane_Tower_Hamlets_Brick_Lane_Market_London_England_01.jpg	https://commons.wikimedia.org/wiki/File:125_Brick_Lane_Tower_Hamlets_Brick_Lane_Market_London_England_01.jpg	Acabashi	CC BY-SA 4.0	Own work
125_Brick_Lane_Tower_Hamlets_Brick_Lane_Market_London_England_02.jpg	File:125 Brick Lane Tower Hamlets Brick Lane Market London England 02.jpg	Category:Street photography in London	https://upload.wikimedia.org/wikipedia/commons/0/06/125_Brick_Lane_Tower_Hamlets_Brick_Lane_Market_London_England_02.jpg	https://commons.wikimedia.org/wiki/File:125_Brick_Lane_Tower_Hamlets_Brick_Lane_Market_London_England_02.jpg	Acabashi	CC BY-SA 4.0	Own work
2008_Speakers_Corner_in_Hyde_park.jpg	File:2008 Speakers' Corner in Hyde park.jpg	Category:Street photography in London	https://upload.wikimedia.org/wikipedia/commons/b/b7/2008_Speakers%27_Corner_in_Hyde_park.jpg	https://commons.wikimedia.org/wiki/File:2008_Speakers%27_Corner_in_Hyde_park.jpg	Frankie Fouganthin	CC BY-SA 4.0	Own work
2013-04-09_-_London_-_IMG_1397_14611141437_.jpg	File:2013-04-09 - London - IMG 1397 (14611141437).jpg	Category:Street photography in London	https://upload.wikimedia.org/wikipedia/commons/5/50/2013-04-09_-_London_-_IMG_1397_%2814611141437%29.jpg	https://commons.wikimedia.org/wiki/File:2013-04-09_-_London_-_IMG_1397_(14611141437).jpg	Sergio Miranda from Maia, Portugal	CC BY 2.0	2013-04-09 - London - IMG_1397
Brick_Lane_Market_Tower_Hamlets_London_England_01.jpg	File:Brick Lane Market Tower Hamlets London England 01.jpg	Category:Street photography in London	https://upload.wikimedia.org/wikipedia/commons/e/e0/Brick_Lane_Market_Tower_Hamlets_London_England_01.jpg	https://commons.wikimedia.org/wiki/File:Brick_Lane_Market_Tower_Hamlets_London_England_01.jpg	Acabashi	CC BY-SA 4.0	Own work
